Country,Reading_0_100,Math_0_100,Science_0_100,Enrollment,EParticipation,Media_Access,IT,v_MLI,v_MLI_check,missing_any,missing_which,over_100_vMLI,over_100_vMLI_check
Sint Maarten (Dutch part),NA,NA,NA,7.65284309533989,NA,NA,NA,7.65284309533989,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA
Djibouti,NA,NA,NA,5.16012001037598,9.59,NA,NA,6.932072006225589,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Congo (Kinshasa),NA,NA,NA,6.37987995147705,NA,NA,NA,6.37987995147705,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA
Central African Republic,NA,NA,NA,2.77519989013672,8.219999999999999,NA,NA,4.953119934082032,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Haiti,NA,NA,NA,1.05140995979309,9.59,NA,NA,4.466845975875854,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Tanzania,NA,NA,NA,4.01880979537964,NA,NA,NA,4.01880979537964,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA
Eritrea,NA,NA,NA,3.20262002944946,1.37,NA,NA,2.469572017669676,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
"Somalia, Fed. Rep.",NA,NA,NA,2.41033005714417,NA,NA,NA,2.41033005714417,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA
French Polynesia,NA,NA,NA,1.45677995681763,NA,NA,NA,1.45677995681763,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA
Channel Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Enrollment|EParticipation|Media_Access|IT,NA,NA
Faroe Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Enrollment|EParticipation|Media_Access|IT,NA,NA
Gibraltar,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Enrollment|EParticipation|Media_Access|IT,NA,NA
Greenland,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Enrollment|EParticipation|Media_Access|IT,NA,NA
Guam,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Enrollment|EParticipation|Media_Access|IT,NA,NA
Isle of Man,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Enrollment|EParticipation|Media_Access|IT,NA,NA
Kosovo,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Enrollment|EParticipation|Media_Access|IT,NA,NA
New Caledonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Enrollment|EParticipation|Media_Access|IT,NA,NA
Northern Mariana Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Enrollment|EParticipation|Media_Access|IT,NA,NA
Not classified,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Enrollment|EParticipation|Media_Access|IT,NA,NA
St. Martin (French part),NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Enrollment|EParticipation|Media_Access|IT,NA,NA
